,Unnamed: 0,hotel_id,name,average_rating,no_of_reviews,address,latitude,longitude,no_of_terrible,no_of_poor,no_of_average,no_of_very_good,no_of_excellent,no_of_terrible_sentiment,no_of_poor_sentiment,no_of_average_sentiment,no_of_very_good_sentiment,no_of_excellent_sentiment,sentiment_rating,word,positiveWord,negativeWord,dataset
447,378,378,Point Randall Resort,4.95,21,1584 Susan Rd,38.206224,-92.665213,0,0,0,0,21,0,0,0,4,17,4.39,"{'sleep': {2: 4.0}, 'room': {6: 4.166666666666667}, 'comfort': {1: 3.0}, 'bathroom': {1: 3.0}, 'location': {1: 4.0}, 'cleanliness': {1: 4.0}, 'food': {1: 3.0}, 'parking': {1: 5.0}}","{'nice': 23, 'train': 12, 'horrible': 12, 'polite': 11, 'staffs': 8, 'coupon': 7, 'longer': 7, 'needed': 7, 'night': 18, 'desk': 7}",{},static
390,379,379,Little Paradise Hotel,4.62,21,435 E Avenida Olancha,33.802822,-116.54269,1,0,0,0,20,0,0,0,10,11,3.97,"{'room': {4: 3.75}, 'comfort': {1: 4.0}, 'cleanliness': {1: 4.0}}","{'bed': 15, 'unit': 8, 'relaxing': 6, 'veranda': 6, 'morning': 6, 'coffee': 6, 'loft': 6, 'expect': 6, 'easily': 6, 'fit': 6}",{},static
240,380,380,Hampton Inn & Suites Syracuse/carrier Circle,4.43,21,6377 Court Street Rd,43.09081892,-76.07916895,1,0,1,0,19,0,1,0,8,12,3.98,"{'room': {3: 3.3333333333333335}, 'value': {1: 3.0}, 'location': {3: 4.333333333333333}, 'cleanliness': {3: 3.3333333333333335}, 'food': {1: 4.0}}","{'friendly': 9, 'green': 6, 'employees': 5, 'extremely': 5, 'helpful': 5, 'hotel': 5, 'connected': 5, 'guests': 5, 'receive': 5, 'discount': 5}","{'easy': 4, 'access': 4, 'highway': 1}",static
121,381,381,Comfort Suites Shreveport,3.86,21,6715 Financial Cir,32.45013,-93.86207,0,1,2,3,15,0,0,2,8,11,3.87,"{'service': {1: 4.0}, 'room': {8: 3.5}, 'spa': {1: 4.0}, 'comfort': {1: 3.0}, 'parking': {1: 2.0}, 'internet': {1: 2.0}}","{'room': 23, 'booked': 12, 'night': 7, 'stay': 7, 'throughly': 7, 'enjoyed': 7, 'careful': 6, 'double': 6, 'check': 14, 'driving': 6}","{'parking': 6, 'free': 6, 'internet': 6, 'disappointment': 4}",static
364,382,382,Knights Inn Amarillo Airport,1.62,21,1803 Lakeside St,35.194703,-101.742208,0,14,3,2,2,0,9,7,4,1,2.11,"{'room': {6: 2.1666666666666665}, 'pet-friendly': {1: 1.0}, 'parking': {1: 2.0}, 'comfort': {1: 1.0}, 'cleanliness': {1: 1.0}}","{'enjoyed': 1, 'sink': 1, 'mini': 1, 'refrigerator': 1, 'microwave': 1, 'room': 1}","{'floor': 40, 'room': 38, 'feel': 24, 'carpet': 16, 'time': 24, 'walk': 16, 'bad': 16, 'people': 16, 'comings': 16, 'goings': 16}",static
448,383,383,Polynesian Plaza,3.1,21,2131 Kalakaua Ave,21.281574,-157.830789,0,4,2,5,10,0,2,4,11,4,3.11,"{'cleanliness': {3: 3.0}, 'food': {1: 3.0}, 'parking': {1: 1.0}, 'room': {4: 3.0}, 'comfort': {2: 2.5}, 'location': {1: 3.0}}","{'student': 6, 'orientation': 6, 'railroad': 5, 'tracks': 5, 'hear': 5, 'convenient': 3, 'restraints': 3, 'general': 3, 'shopping': 3, 'cosmetic': 1}","{'staff': 12, 'work': 8, 'programmed': 8, 'parking': 5, 'hotel': 5, 'guess': 5, 'place': 4, 'stay': 4, 'enjoyed': 4, 'hospitality': 4}",static
591,384,384,Turf Motel,3.38,21,741 E Washington St,39.29304,-77.850866,1,2,2,4,12,0,1,5,10,5,3.33,"{'room': {5: 3.0}, 'cleanliness': {2: 2.5}, 'pet-friendly': {1: 2.0}, 'comfort': {1: 3.0}, 'sleep': {1: 2.0}}","{'fine': 7, 'manager': 6, 'mistake': 6, 'wait': 6, 'charge': 6, 'drop': 6, 'room': 5, 'rate': 5, 'hotels': 5, 'breakfast': 1}","{'stay': 12, 'musty': 6, 'smell': 12, 'steamed': 6, 'carpets': 6, 'nice': 6, 'motel': 6, 'room': 4, 'clean': 4, 'horrible': 2}",static
6,385,385,Agate Beach Motel,4.62,21,175 N W Gilbert Way,44.67388,-124.06068,1,0,0,0,20,0,0,0,6,15,4.19,"{'bathroom': {3: 4.0}, 'room': {5: 4.0}, 'location': {2: 3.5}, 'cleanliness': {3: 4.0}}","{'room': 29, 'time': 13, 'staying': 13, 'sheets': 9, 'severely': 9, 'stained': 9, 'mattress': 9, 'plastic': 9, 'cover': 9, 'location': 8}",{},static
111,386,386,Comfort Inn Humboldt Bay,4.43,21,4260 Broadway,40.767605,-124.191895,0,0,0,5,16,0,0,2,5,14,4.05,"{'comfort': {1: 4.0}, 'bathroom': {1: 5.0}, 'spa': {1: 5.0}, 'room': {4: 3.75}, 'parking': {1: 4.0}, 'location': {2: 3.0}, 'cleanliness': {1: 3.0}}","{'great': 17, 'restaurants': 10, 'cups': 9, 'lobby': 7, 'breakfast': 7, 'brought': 7, 'stay': 6, 'sofa': 5, 'bed': 5, 'lumpy': 5}","{'long': 9, 'checked': 7, 'hotel': 7, 'man': 7, 'free': 7, 'breakfast': 7, 'vouchers': 7, 'wait': 7, 'room': 7, 'minutes': 7}",static
483,387,387,Residence Inn Burlington Colchester,4.5,20,71 Rathe Rd,44.51407,-73.18283,0,0,0,1,19,0,0,0,10,10,3.9,"{'comfort': {4: 3.25}, 'service': {1: 4.0}, 'room': {2: 4.0}, 'cleanliness': {3: 3.6666666666666665}, 'location': {1: 4.0}, 'sleep': {1: 3.0}}","{'desk': 11, 'adequate': 9, 'clean': 9, 'area': 8, 'staff': 7, 'friendly': 7, 'helpful': 7, 'check': 7, 'location': 6, 'problem': 5}",{},static
