,Unnamed: 0,hotel_id,name,average_rating,no_of_reviews,address,latitude,longitude,no_of_terrible,no_of_poor,no_of_average,no_of_very_good,no_of_excellent,no_of_terrible_sentiment,no_of_poor_sentiment,no_of_average_sentiment,no_of_very_good_sentiment,no_of_excellent_sentiment,sentiment_rating,word,positiveWord,negativeWord,dataset
561,0,0,"The Alexandrian, Autograph Collection",4.48,1183,480 King St,38.80474,-77.04455,0,10,31,90,1052,0,36,115,244,788,4.05,"{'room': {220: 3.727272727272727}, 'cleanliness': {117: 3.9401709401709404}, 'value': {4: 3.75}, 'pet-friendly': {3: 3.6666666666666665}, 'food': {25: 3.6}, 'parking': {30: 4.033333333333333}, 'service': {26: 4.115384615384615}, 'comfort': {40: 3.65}, 'location': {42: 3.880952380952381}, 'sleep': {7: 3.5714285714285716}, 'air-conditioner': {2: 4.0}, 'quiet': {11: 3.5454545454545454}, 'spa': {18: 3.888888888888889}, 'internet': {3: 3.6666666666666665}, 'business': {8: 3.75}, 'lounge': {24: 3.6666666666666665}, 'bathroom': {13: 3.3076923076923075}, 'gym': {4: 3.75}, 'cafe': {3: 4.333333333333333}}","{'area': 95, 'time': 94, 'desk': 54, 'helpful': 49, 'morning': 49, 'walk': 72, 'night': 69, 'service': 44, 'stay': 61, 'food': 48}","{'location': 46, 'area': 44, 'comfortable': 36, 'lobby': 33, 'distance': 29, 'bit': 36, 'stay': 59, 'friendly': 25, 'looked': 23, 'hot': 129}",static
333,1,1,Howard Johnson Inn - Newburgh,2.77,699,95 Route 17k,41.505388,-74.073291,0,130,155,218,196,0,112,185,229,173,2.99,"{'room': {145: 2.6620689655172414}, 'comfort': {38: 2.6315789473684212}, 'cleanliness': {62: 2.7419354838709675}, 'location': {18: 3.0555555555555554}, 'pet-friendly': {4: 2.5}, 'bathroom': {14: 2.5}, 'spa': {18: 2.2222222222222223}, 'parking': {4: 1.5}, 'value': {6: 3.1666666666666665}, 'service': {15: 2.6666666666666665}, 'business': {9: 2.0}, 'quiet': {13: 2.769230769230769}, 'internet': {7: 2.4285714285714284}, 'food': {6: 2.6666666666666665}, 'sleep': {4: 3.0}, 'lounge': {1: 3.0}, 'gym': {2: 3.5}, 'air-conditioner': {1: 2.0}}","{'hotel': 41, 'friendly': 31, 'kitchen': 23, 'eat': 33, 'clean': 19, 'free': 17, 'stay': 31, 'decided': 15, 'bed': 16, 'breakfast': 14}","{'stay': 159, 'told': 40, 'helpful': 38, 'location': 35, 'night': 47, 'clean': 45, 'extended': 30, 'hotel': 52, 'kitchen': 36, 'area': 25}",static
11,2,2,Americas Best Value Inn,2.74,556,2512 W Lincolnway,41.11915,-104.84949,1,142,100,133,180,0,100,143,185,128,2.97,"{'comfort': {27: 2.5925925925925926}, 'room': {106: 2.5660377358490565}, 'location': {35: 3.085714285714286}, 'bathroom': {42: 2.1904761904761907}, 'cleanliness': {40: 2.675}, 'quiet': {9: 3.0}, 'spa': {8: 2.375}, 'food': {7: 2.857142857142857}, 'internet': {8: 3.375}, 'service': {6: 2.8333333333333335}, 'lounge': {5: 3.6}, 'parking': {4: 2.75}, 'sleep': {5: 1.8}, 'air-conditioner': {1: 1.0}, 'business': {3: 2.0}, 'value': {3: 2.6666666666666665}, 'pet-friendly': {3: 3.3333333333333335}}","{'staff': 32, 'location': 27, 'nice': 25, 'good': 23, 'friendly': 19, 'breakfast': 20, 'time': 16, 'floor': 15, 'place': 17, 'night': 16}","{'stay': 115, 'place': 89, 'good': 58, 'staff': 51, 'helpful': 41, 'shower': 63, 'night': 59, 'ja': 44, 'walk': 67, 'morning': 37}",static
216,3,3,Fiesta Inn and Suites,1.46,530,4934 N W Loop 410,29.487838,-98.583884,0,407,53,32,38,0,312,141,46,31,1.88,"{'comfort': {31: 1.903225806451613}, 'room': {91: 1.5934065934065933}, 'cleanliness': {46: 1.7391304347826086}, 'sleep': {8: 1.875}, 'spa': {10: 1.2}, 'food': {2: 1.0}, 'service': {13: 1.4615384615384615}, 'quiet': {12: 1.5}, 'pet-friendly': {3: 1.6666666666666667}, 'business': {7: 2.2857142857142856}, 'value': {5: 1.8}, 'internet': {2: 1.5}, 'lounge': {9: 1.7777777777777777}, 'location': {14: 1.4285714285714286}, 'parking': {3: 1.3333333333333333}, 'bathroom': {5: 1.2}, 'air-conditioner': {2: 1.5}, 'gym': {1: 2.0}}","{'mattress': 10, 'local': 6, 'channels': 6, 'stay': 7, 'bit': 3, 'nervous': 3, 'exterior': 3, 'gas': 3, 'station': 3, 'pool': 3}","{'clean': 90, 'desk': 61, 'night': 96, 'place': 82, 'pool': 46, 'location': 46, 'dog': 43, 'late': 43, 'friendly': 42, 'quiet': 38}",static
355,4,4,Ip Casino Resort Spa,4.07,392,850 Bayview Ave,30.411692,-88.890249,0,16,24,60,292,0,49,55,64,224,3.67,"{'parking': {34: 3.6176470588235294}, 'food': {2: 4.0}, 'room': {87: 3.4597701149425286}, 'service': {8: 3.5}, 'location': {41: 3.5365853658536586}, 'value': {5: 2.8}, 'cleanliness': {34: 3.5294117647058822}, 'sleep': {10: 3.2}, 'internet': {5: 3.6}, 'spa': {6: 3.0}, 'comfort': {14: 3.5}, 'bathroom': {3: 3.0}, 'pet-friendly': {2: 5.0}, 'lounge': {20: 3.9}, 'quiet': {11: 4.363636363636363}}","{'clean': 35, 'location': 29, 'place': 32, 'great': 23, 'hotel': 23, 'room': 31, 'walk': 21, 'night': 24, 'neighborhood': 17, 'free': 16}","{'stay': 45, 'room': 38, 'windows': 21, 'helpful': 21, 'location': 22, 'large': 19, 'edge': 17, 'opened': 16, 'number': 16, 'min': 29}",static
118,5,5,Comfort Suites,3.95,326,1055 E Mcnee Road Of Main St,29.681085,-95.402996,0,16,23,50,237,0,19,46,98,163,3.69,"{'spa': {10: 4.0}, 'room': {55: 3.690909090909091}, 'cleanliness': {13: 3.769230769230769}, 'location': {9: 2.4444444444444446}, 'business': {2: 4.0}, 'lounge': {4: 2.5}, 'service': {14: 3.0}, 'parking': {2: 3.5}, 'bathroom': {5: 4.2}, 'comfort': {11: 3.5454545454545454}, 'pet-friendly': {3: 4.0}, 'value': {4: 3.5}, 'air-conditioner': {1: 5.0}, 'internet': {2: 3.5}, 'food': {2: 2.5}, 'sleep': {1: 5.0}}","{'stay': 63, 'clean': 29, 'helpful': 21, 'amazing': 20, 'family': 18, 'breakfast': 16, 'great': 15, 'families': 14, 'location': 14, 'polite': 13}","{'hotel': 46, 'shuttle': 33, 'staff': 27, 'nice': 24, 'location': 22, 'incredible': 19, 'proximity': 19, 'shopping': 19, 'happy': 18, 'time': 27}",static
57,6,6,Best Western Plus Waterville Grand Hotel,3.67,325,375 Main St,44.57059,-69.64012,0,23,26,70,206,0,27,51,105,142,3.53,"{'room': {63: 3.1587301587301586}, 'cleanliness': {18: 2.888888888888889}, 'location': {9: 3.111111111111111}, 'comfort': {5: 3.2}, 'pet-friendly': {15: 3.2666666666666666}, 'bathroom': {5: 2.6}, 'quiet': {3: 3.6666666666666665}, 'parking': {7: 3.2857142857142856}, 'lounge': {4: 3.25}, 'air-conditioner': {2: 2.0}, 'sleep': {6: 2.6666666666666665}, 'value': {3: 2.3333333333333335}, 'food': {2: 4.5}, 'internet': {3: 3.3333333333333335}, 'service': {6: 2.8333333333333335}, 'spa': {2: 2.0}, 'business': {2: 3.0}}","{'room': 113, 'place': 28, 'night': 24, 'great': 21, 'toilet': 20, 'rude': 17, 'day': 22, 'worth': 14, 'desk': 14, 'booked': 13}","{'stay': 41, 'dirty': 34, 'shower': 26, 'clean': 32, 'car': 39, 'rude': 20, 'door': 19, 'room': 50, 'smell': 20, 'tub': 26}",static
62,7,7,Best Western of Long Beach,3.66,317,1725 Long Beach Blvd,33.78864,-118.189464,0,18,33,73,193,0,22,53,95,147,3.57,"{'room': {68: 3.426470588235294}, 'cleanliness': {21: 3.142857142857143}, 'location': {9: 2.6666666666666665}, 'value': {5: 4.2}, 'comfort': {5: 3.6}, 'sleep': {7: 2.7142857142857144}, 'quiet': {1: 4.0}, 'service': {3: 4.0}, 'parking': {3: 2.0}, 'food': {4: 2.5}, 'lounge': {8: 2.75}, 'internet': {3: 3.0}, 'pet-friendly': {4: 3.75}, 'bathroom': {3: 4.0}, 'spa': {1: 2.0}}","{'night': 38, 'people': 36, 'room': 44, 'clean': 37, 'door': 25, 'stay': 38, 'smell': 47, 'desk': 18, 'expect': 18, 'work': 15}","{'room': 65, 'location': 31, 'motel': 24, 'smell': 38, 'clean': 21, 'worst': 19, 'experience': 19, 'life': 19, 'parking': 18, 'pool': 18}",static
254,8,8,Hampton Inn Virginia Beach Oceanfront North,4.35,301,3107 Atlantic Ave,36.859787,-75.978035,0,2,15,41,243,0,10,29,89,173,3.86,"{'room': {52: 3.6153846153846154}, 'cleanliness': {28: 3.3214285714285716}, 'business': {4: 2.25}, 'value': {3: 4.0}, 'comfort': {21: 3.5238095238095237}, 'food': {8: 2.75}, 'service': {12: 3.25}, 'location': {5: 4.0}, 'internet': {3: 3.3333333333333335}, 'spa': {1: 4.0}, 'bathroom': {6: 3.3333333333333335}, 'quiet': {2: 4.0}, 'gym': {2: 3.5}, 'lounge': {5: 3.2}, 'parking': {2: 4.5}, 'pet-friendly': {2: 3.0}, 'sleep': {1: 3.0}}","{'clean': 28, 'location': 23, 'friendly': 34, 'staff': 21, 'restaurant': 21, 'desk': 20, 'voucher': 17, 'night': 18, 'toast': 17, 'pool': 16}","{'hotel': 32, 'breakfast': 28, 'desk': 25, 'staff': 19, 'friendly': 18, 'price': 14, 'dog': 16, 'check': 13, 'place': 10, 'helpful': 11}",static
446,9,9,Plaza Hotel and Casino - Las Vegas,3.22,289,1 Main St,36.171617,-115.146375,0,39,41,84,125,0,56,75,63,95,3.08,"{'cleanliness': {32: 3.375}, 'quiet': {4: 2.25}, 'room': {45: 2.8222222222222224}, 'value': {9: 3.2222222222222223}, 'comfort': {33: 2.9696969696969697}, 'pet-friendly': {1: 2.0}, 'sleep': {6: 2.5}, 'location': {7: 1.7142857142857142}, 'parking': {1: 4.0}, 'spa': {6: 2.8333333333333335}, 'lounge': {2: 4.0}, 'service': {3: 3.3333333333333335}, 'bathroom': {3: 3.3333333333333335}, 'food': {2: 2.5}}","{'train': 23, 'clean': 20, 'open': 16, 'time': 17, 'hotel': 14, 'stay': 17, 'feedback': 10, 'coffee': 10, 'complete': 9, 'online': 8}","{'staff': 51, 'train': 56, 'stay': 47, 'night': 38, 'bed': 29, 'helpful': 28, 'nice': 28, 'place': 31, 'friendly': 23, 'location': 22}",static
172,10,10,Doubletree By Hilton West Palm Beach Airport,4.17,276,1808 S Australian Ave,26.697607,-80.072864,0,8,15,29,224,0,19,33,67,157,3.74,"{'comfort': {4: 3.5}, 'location': {12: 3.5}, 'room': {44: 3.227272727272727}, 'cleanliness': {17: 3.0}, 'lounge': {8: 3.125}, 'sleep': {2: 2.0}, 'bathroom': {3: 3.0}, 'gym': {2: 3.0}, 'air-conditioner': {2: 3.0}, 'quiet': {3: 4.0}, 'food': {2: 2.0}, 'service': {3: 4.333333333333333}, 'value': {1: 5.0}, 'pet-friendly': {1: 3.0}}","{'nice': 47, 'night': 46, 'place': 39, 'large': 32, 'hot': 122, 'area': 35, 'desk': 30, 'stay': 46, 'tub': 28, 'room': 41}","{'pool': 46, 'breakfast': 29, 'stay': 29, 'nice': 27, 'room': 27, 'area': 19, 'loungers': 18, 'lucky': 18, 'noise': 17, 'staff': 17}",static
20,11,11,Anaheim Marriott Suites,4.33,275,12015 Harbor Blvd,33.78814,-117.916591,0,8,5,30,232,0,9,32,72,162,3.87,"{'comfort': {13: 3.923076923076923}, 'quiet': {3: 3.6666666666666665}, 'cleanliness': {24: 3.5833333333333335}, 'room': {59: 3.440677966101695}, 'location': {10: 3.4}, 'business': {1: 5.0}, 'pet-friendly': {6: 3.0}, 'food': {3: 3.3333333333333335}, 'internet': {2: 4.0}, 'service': {5: 3.8}, 'bathroom': {6: 3.6666666666666665}, 'spa': {1: 3.0}, 'sleep': {5: 3.6}, 'parking': {4: 3.75}, 'value': {1: 2.0}, 'lounge': {1: 3.0}}","{'stay': 84, 'staff': 40, 'night': 30, 'price': 29, 'great': 25, 'desk': 20, 'check': 23, 'walk': 23, 'good': 18, 'friendly': 18}","{'room': 39, 'stay': 28, 'staff': 21, 'left': 20, 'beach': 18, 'toilet': 17, 'wake': 17, 'floor': 17, 'sounded': 17, 'jet': 17}",static
356,12,12,Jacksonville Plaza Hotel and Suites,3.55,264,14585 Duval Rd,30.479833,-81.648827,0,20,27,74,143,0,16,50,101,97,3.43,"{'air-conditioner': {1: 3.0}, 'sleep': {5: 2.2}, 'lounge': {5: 2.8}, 'bathroom': {14: 3.5714285714285716}, 'room': {66: 3.272727272727273}, 'parking': {9: 2.6666666666666665}, 'quiet': {9: 2.7777777777777777}, 'food': {4: 3.75}, 'comfort': {16: 3.0}, 'location': {21: 2.9047619047619047}, 'pet-friendly': {5: 3.6}, 'spa': {2: 3.5}, 'cleanliness': {11: 3.090909090909091}, 'value': {1: 2.0}, 'internet': {2: 1.5}, 'service': {2: 2.5}}","{'block': 25, 'stay': 37, 'convenient': 14, 'distance': 13, 'son': 12, 'time': 12, 'friendly': 12, 'close': 11, 'house': 11, 'downtown': 10}","{'parking': 45, 'room': 53, 'street': 36, 'nice': 35, 'stay': 28, 'place': 27, 'hard': 20, 'people': 20, 'beach': 19, 'bed': 21}",static
480,13,13,Red Roof Inn Erie,4.19,243,7865 Perry Hwy,42.071304,-80.03911,0,4,11,32,196,0,6,31,74,132,3.79,"{'sleep': {5: 3.4}, 'room': {55: 3.4}, 'food': {2: 2.0}, 'cleanliness': {29: 3.586206896551724}, 'location': {3: 3.6666666666666665}, 'comfort': {23: 3.608695652173913}, 'quiet': {4: 3.25}, 'business': {1: 3.0}, 'pet-friendly': {8: 3.0}, 'value': {1: 3.0}, 'bathroom': {7: 2.7142857142857144}, 'lounge': {2: 4.0}, 'air-conditioner': {2: 3.5}, 'internet': {1: 2.0}, 'spa': {2: 3.0}, 'service': {3: 3.3333333333333335}}","{'stay': 77, 'clean': 32, 'room': 36, 'night': 25, 'good': 17, 'nice': 23, 'great': 18, 'friendly': 16, 'family': 16, 'problem': 13}","{'room': 30, 'carpet': 11, 'clean': 11, 'bed': 10, 'lot': 10, 'desk': 9, 'lady': 8, 'running': 8, 'love': 7, 'upgrade': 7}",static
315,14,14,Hotel Deca - A Noble House Hotel,3.83,237,4507 Brooklyn Ave N E,47.66143,-122.31429,0,20,21,34,162,0,7,36,82,112,3.73,"{'parking': {10: 2.9}, 'lounge': {7: 3.2857142857142856}, 'spa': {12: 3.1666666666666665}, 'room': {40: 3.225}, 'cleanliness': {16: 3.375}, 'location': {7: 3.5714285714285716}, 'service': {4: 3.75}, 'comfort': {10: 3.2}, 'quiet': {3: 2.3333333333333335}, 'bathroom': {7: 2.7142857142857144}, 'food': {2: 3.0}, 'business': {2: 4.0}, 'pet-friendly': {1: 3.0}, 'gym': {1: 2.0}, 'value': {1: 3.0}, 'internet': {1: 4.0}}","{'stay': 41, 'breakfast': 25, 'great': 24, 'location': 23, 'parking': 22, 'night': 32, 'comfortable': 26, 'times': 18, 'nice': 17, 'looked': 15}","{'room': 52, 'suite': 17, 'floor': 14, 'lot': 12, 'comfortable': 12, 'needed': 12, 'booked': 11, 'nice': 11, 'extremely': 10, 'bed': 29}",static
293,15,15,Holiday Inn Express Hotel and Suites Va Beach Oceanfront,3.92,229,2607 Atlantic Ave,36.85497235,-75.97641885,1,5,19,65,139,0,20,41,83,85,3.43,"{'location': {4: 3.25}, 'room': {33: 3.3636363636363638}, 'pet-friendly': {3: 4.0}, 'lounge': {2: 2.5}, 'comfort': {10: 3.4}, 'cleanliness': {15: 3.533333333333333}, 'service': {4: 2.25}, 'parking': {11: 3.1818181818181817}, 'value': {1: 4.0}, 'spa': {3: 3.6666666666666665}, 'quiet': {3: 3.0}, 'bathroom': {2: 3.0}, 'business': {1: 4.0}, 'sleep': {1: 4.0}, 'food': {1: 4.0}}","{'hotel': 70, 'room': 46, 'night': 25, 'comfortable': 24, 'car': 29, 'nice': 15, 'alley': 14, 'pier': 13, 'stay': 14, 'shuttle': 13}","{'stay': 32, 'cruise': 25, 'place': 26, 'awesome': 17, 'night': 15, 'area': 23, 'good': 16, 'street': 13, 'bad': 13, 'eat': 31}",static
171,16,16,Doubletree By Hilton Hotel Bay City - Riverfront,4.44,227,1 Wenonah Park Pl,43.596927,-83.891054,0,6,8,13,200,0,5,15,58,149,4.04,"{'room': {33: 3.606060606060606}, 'quiet': {6: 3.6666666666666665}, 'cleanliness': {17: 3.588235294117647}, 'location': {4: 3.75}, 'bathroom': {2: 4.0}, 'comfort': {6: 3.5}, 'spa': {1: 4.0}, 'lounge': {3: 3.6666666666666665}, 'value': {2: 3.5}, 'service': {1: 3.0}, 'parking': {1: 3.0}}","{'stay': 49, 'day': 39, 'area': 28, 'nice': 37, 'night': 41, 'pool': 39, 'beach': 48, 'check': 26, 'friendly': 18, 'tub': 18}","{'clean': 24, 'premises': 16, 'maintained': 16, 'place': 15, 'crash': 10, 'great': 9, 'booked': 7, 'based': 7, 'expecting': 7, 'bit': 7}",static
427,17,17,New York Marriott Marquis,3.28,223,1535 Broadway,40.758465,-73.985639,0,65,1,56,101,0,21,20,39,143,3.88,"{'cleanliness': {15: 3.933333333333333}, 'internet': {7: 3.0}, 'bathroom': {2: 4.0}, 'room': {39: 3.871794871794872}, 'quiet': {3: 3.3333333333333335}, 'value': {1: 4.0}, 'comfort': {15: 3.2666666666666666}, 'service': {4: 3.75}, 'location': {7: 3.142857142857143}, 'food': {1: 3.0}, 'pet-friendly': {2: 4.0}, 'sleep': {2: 3.0}, 'business': {2: 3.5}, 'parking': {1: 5.0}, 'spa': {1: 5.0}}","{'room': 27, 'staff': 14, 'stay': 19, 'night': 14, 'pleasant': 11, 'street': 10, 'hotel': 10, 'easy': 9, 'access': 9, 'cigarette': 8}","{'good': 26, 'stay': 16, 'clean': 14, 'quiet': 14, 'facility': 14, 'shape': 14, 'smoke': 8, 'great': 8, 'pleased': 6, 'experience': 6}",static
423,18,18,Mountain Lodge At Telluride - A Noble House Resort,4.34,200,457 Mountain Village Blvd,37.933273,-107.850865,0,5,7,26,162,0,8,24,58,110,3.82,"{'comfort': {22: 3.772727272727273}, 'room': {40: 3.425}, 'cleanliness': {25: 3.8}, 'business': {5: 2.4}, 'spa': {2: 2.5}, 'service': {4: 3.75}, 'location': {7: 3.142857142857143}, 'pet-friendly': {6: 2.8333333333333335}, 'lounge': {3: 3.0}, 'food': {2: 4.0}, 'internet': {1: 4.0}, 'sleep': {2: 3.5}, 'value': {4: 3.5}, 'bathroom': {3: 3.6666666666666665}, 'gym': {2: 2.5}, 'parking': {1: 4.0}, 'quiet': {1: 3.0}}","{'staff': 34, 'stay': 63, 'room': 26, 'helpful': 24, 'clean': 35, 'bed': 44, 'time': 20, 'door': 23, 'desk': 17, 'fine': 15}","{'business': 21, 'average': 16, 'staff': 16, 'doors': 14, 'result': 13, 'offer': 10, 'choice': 10, 'soft': 10, 'firm': 10, 'pillows': 10}",static
174,19,19,Drury Inn and Suites Columbus Convention Center,4.54,200,88 E Nationwide Blvd,39.969219,-82.999881,0,2,3,11,184,0,4,9,49,138,4.17,"{'room': {30: 3.7}, 'lounge': {10: 4.3}, 'location': {8: 4.125}, 'cleanliness': {8: 3.875}, 'service': {6: 3.6666666666666665}, 'pet-friendly': {1: 5.0}, 'sleep': {2: 3.5}, 'food': {1: 4.0}, 'quiet': {1: 5.0}, 'spa': {1: 2.0}, 'comfort': {1: 4.0}}","{'love': 26, 'great': 20, 'year': 16, 'stay': 24, 'time': 14, 'people': 19, 'helpful': 13, 'needed': 12, 'room': 32, 'kids': 11}","{'nice': 20, 'courteous': 15, 'beach': 11, 'room': 11, 'view': 8, 'week': 7, 'pre': 7, 'memorial': 7, 'day': 13, 'sneak': 5}",static
329,20,20,Hotel Valencia Santana Row,4.32,197,355 Santana Row,37.32098,-121.9479,0,9,5,15,168,0,6,15,41,135,4.07,"{'bathroom': {5: 3.8}, 'room': {46: 3.8043478260869565}, 'comfort': {20: 4.0}, 'spa': {9: 3.888888888888889}, 'cleanliness': {26: 3.576923076923077}, 'location': {7: 3.4285714285714284}, 'parking': {5: 3.8}, 'value': {3: 3.0}, 'service': {2: 2.5}, 'sleep': {5: 4.8}, 'internet': {6: 4.0}, 'food': {3: 3.0}, 'quiet': {4: 3.75}, 'business': {2: 3.5}, 'gym': {1: 2.0}}","{'great': 36, 'staff': 32, 'room': 42, 'stay': 28, 'river': 17, 'area': 23, 'lot': 14, 'comfortable': 12, 'desk': 13, 'helpful': 12}","{'nice': 20, 'dining': 14, 'remote': 13, 'facilities': 13, 'walking': 13, 'tired': 11, 'room': 16, 'spacious': 7, 'service': 7, 'stay': 6}",static
106,21,21,Comfort Inn,4.03,191,9800 Bonita Beach Rd,26.331369,-81.787918,2,9,10,29,141,0,11,29,59,92,3.64,"{'spa': {4: 3.0}, 'room': {26: 3.269230769230769}, 'pet-friendly': {2: 2.0}, 'quiet': {2: 2.5}, 'food': {2: 3.0}, 'cleanliness': {11: 3.5454545454545454}, 'business': {3: 3.0}, 'lounge': {5: 3.6}, 'comfort': {5: 3.0}, 'location': {11: 3.272727272727273}, 'service': {2: 3.5}, 'bathroom': {1: 4.0}, 'sleep': {2: 4.0}, 'parking': {1: 1.0}}","{'room': 32, 'breakfast': 20, 'stay': 21, 'dont': 12, 'good': 12, 'clean': 11, 'small': 11, 'staff': 12, 'day': 10, 'green': 10}","{'strong': 19, 'musty': 19, 'smell': 19, 'carpet': 19, 'worn': 19, 'rate': 19, 'expensive': 19, 'nice': 19, 'good': 15, 'small': 14}",static
53,22,22,Best Western Plus French Quarter Landmark Hotel,4.12,185,920 N Rampart St,29.962454,-90.06636,0,3,9,26,147,0,7,14,66,98,3.82,"{'comfort': {9: 3.6666666666666665}, 'room': {30: 3.466666666666667}, 'value': {7: 3.5714285714285716}, 'cleanliness': {32: 3.84375}, 'quiet': {10: 3.6}, 'parking': {6: 4.0}, 'pet-friendly': {5: 3.2}, 'sleep': {3: 4.333333333333333}, 'business': {2: 4.0}, 'internet': {4: 3.5}, 'air-conditioner': {1: 3.0}, 'service': {1: 3.0}, 'lounge': {1: 3.0}, 'food': {1: 3.0}}","{'place': 37, 'parking': 24, 'family': 22, 'truck': 21, 'stay': 37, 'nice': 17, 'clean': 19, 'west': 17, 'price': 20, 'worked': 14}","{'night': 18, 'packet': 11, 'coffee': 11, 'office': 11, 'closed': 11, 'allowed': 9, 'pets': 9, 'fuss': 9, 'fit': 8, 'criteria': 8}",static
253,23,23,Hampton Inn Tucson-airport,4.33,184,6971 S Tucson Blvd,32.124926,-110.934519,0,3,10,16,155,0,6,13,48,117,4.02,"{'location': {6: 3.8333333333333335}, 'pet-friendly': {2: 4.5}, 'room': {34: 3.5294117647058822}, 'comfort': {7: 4.0}, 'internet': {6: 3.6666666666666665}, 'cleanliness': {13: 3.6153846153846154}, 'bathroom': {5: 3.0}, 'lounge': {1: 5.0}, 'sleep': {2: 4.5}, 'air-conditioner': {1: 3.0}, 'food': {4: 4.0}, 'cafe': {1: 5.0}, 'gym': {1: 3.0}, 'service': {6: 3.5}, 'spa': {1: 4.0}, 'parking': {3: 3.3333333333333335}}","{'good': 56, 'room': 40, 'stay': 23, 'staff': 22, 'friendly': 21, 'nice': 20, 'place': 21, 'free': 16, 'signal': 16, 'easy': 14}","{'room': 29, 'great': 11, 'breakfast': 10, 'wifi': 9, 'block': 9, 'friendly': 7, 'pleasant': 6, 'eating': 5, 'places': 5, 'walk': 8}",static
461,24,24,Quality Inn and Suites,2.97,182,2717 Village Ln,32.52313,-93.70201,1,27,34,55,65,0,22,45,54,61,3.22,"{'comfort': {21: 3.0}, 'cleanliness': {19: 3.0}, 'room': {39: 3.1025641025641026}, 'service': {3: 2.3333333333333335}, 'location': {5: 3.0}, 'bathroom': {3: 3.0}, 'pet-friendly': {4: 2.75}, 'quiet': {5: 3.2}, 'parking': {1: 1.0}, 'spa': {3: 3.0}, 'sleep': {3: 1.6666666666666667}, 'food': {1: 2.0}}","{'stay': 24, 'nice': 20, 'place': 18, 'hot': 22, 'room': 14, 'tub': 10, 'staff': 10, 'pool': 11, 'breakfast': 9, 'friendly': 9}","{'room': 30, 'breakfast': 20, 'clean': 19, 'pool': 27, 'stay': 22, 'case': 21, 'good': 17, 'walls': 16, 'comfortable': 19, 'hot': 52}",static
288,25,25,Holiday Inn Express Hotel and Suites Cambridge,3.94,182,250 Msgr O'brien Hwy,42.373389,-71.081492,0,9,4,36,133,0,5,29,66,82,3.63,"{'location': {9: 3.2222222222222223}, 'internet': {3: 3.3333333333333335}, 'comfort': {7: 2.857142857142857}, 'room': {16: 3.25}, 'bathroom': {1: 3.0}, 'spa': {3: 3.6666666666666665}, 'cleanliness': {14: 3.142857142857143}, 'parking': {7: 3.4285714285714284}, 'lounge': {1: 5.0}, 'service': {8: 2.875}, 'food': {3: 2.6666666666666665}, 'quiet': {2: 3.5}, 'value': {2: 4.0}}","{'stay': 51, 'breakfast': 34, 'place': 13, 'floor': 12, 'good': 12, 'free': 11, 'staff': 11, 'convention': 10, 'night': 10, 'shuttle': 10}","{'good': 27, 'clean': 16, 'shuttle': 14, 'restaurants': 13, 'free': 12, 'hotel': 13, 'cruise': 11, 'area': 10, 'love': 10, 'park': 10}",static
582,26,26,Tidewater Inn,3.38,180,135 Route 28,41.657447,-70.261804,0,22,20,40,98,0,15,26,62,77,3.52,"{'room': {38: 3.289473684210526}, 'cleanliness': {20: 3.15}, 'pet-friendly': {4: 3.5}, 'service': {4: 3.0}, 'location': {3: 3.3333333333333335}, 'parking': {2: 3.5}, 'lounge': {3: 4.0}, 'food': {4: 3.25}, 'internet': {1: 2.0}, 'comfort': {8: 3.125}, 'quiet': {3: 4.0}, 'spa': {1: 3.0}}","{'room': 83, 'comfortable': 26, 'staff': 21, 'smoke': 23, 'clean': 18, 'pill': 15, 'bugs': 15, 'crawling': 15, 'customer': 20, 'place': 15}","{'room': 64, 'area': 22, 'clean': 27, 'stay': 23, 'expected': 16, 'options': 16, 'people': 16, 'recommend': 15, 'return': 14, 'booked': 13}",static
227,27,27,Garden of The Gods Club & Resort,4.67,170,3320 Mesa Rd,38.88037,-104.8682,0,2,2,9,157,0,0,9,34,127,4.22,"{'comfort': {11: 4.0}, 'bathroom': {1: 4.0}, 'room': {20: 3.8}, 'cleanliness': {7: 3.7142857142857144}, 'service': {6: 4.0}, 'quiet': {4: 3.5}, 'location': {12: 4.083333333333333}, 'parking': {9: 3.6666666666666665}, 'lounge': {7: 3.857142857142857}, 'cafe': {2: 4.0}, 'sleep': {2: 4.0}, 'spa': {1: 5.0}, 'internet': {1: 5.0}, 'air-conditioner': {1: 4.0}, 'food': {1: 4.0}}","{'great': 56, 'location': 27, 'walk': 56, 'nice': 21, 'recommend': 18, 'helpful': 18, 'construction': 17, 'street': 17, 'time': 17, 'friendly': 16}","{'hotel': 38, 'tit': 14, 'typical': 14, 'staff': 11, 'street': 9, 'reasonable': 6, 'picked': 5, 'tours': 5, 'stay': 5, 'difficult': 5}",static
